#options: 720x576 fps=25000/1001 cabac=1 ref=4 deblock=1:0:0 analyse=0x3:0x133 me=umh subme=6 brdo=0 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=1 cqm=0 deadzone=21,11 chroma_qp_offset=0 threads=1 nr=0 decimate=1 mbaff=0 bframes=3 b_pyramid=1 b_adapt=1 b_bias=0 direct=1 wpredb=1 bime=0 keyint=250 keyint_min=25 scenecut=40 rc=abr bitrate=8000 ratetol=1.0 rceq='blurCplx^(1-qComp)' qcomp=1.00 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.40 pb_ratio=1.30 aq=2:1.00
in:0 out:0 type:I q:12.00 itex:406469 ptex:0 mv:41524 misc:4983 imb:1620 pmb:0 smb:0 d:-;
in:1 out:1 type:P q:14.00 itex:8142 ptex:301028 mv:44723 misc:1035 imb:41 pmb:1410 smb:169 d:-;
in:2 out:2 type:P q:14.00 itex:4512 ptex:341007 mv:41580 misc:901 imb:28 pmb:1465 smb:127 d:-;
in:3 out:3 type:P q:15.00 itex:2227 ptex:337384 mv:34482 misc:819 imb:13 pmb:1498 smb:109 d:-;
in:4 out:4 type:P q:15.00 itex:1711 ptex:361186 mv:38179 misc:732 imb:14 pmb:1520 smb:86 d:-;
in:5 out:5 type:P q:15.00 itex:4054 ptex:375641 mv:38708 misc:661 imb:23 pmb:1525 smb:72 d:-;
in:6 out:6 type:P q:16.00 itex:1770 ptex:348038 mv:32774 misc:666 imb:13 pmb:1537 smb:70 d:-;
in:7 out:7 type:P q:16.00 itex:4757 ptex:356353 mv:37216 misc:570 imb:27 pmb:1537 smb:56 d:-;
in:8 out:8 type:P q:16.00 itex:8170 ptex:360576 mv:39166 misc:472 imb:55 pmb:1524 smb:41 d:-;
in:9 out:9 type:P q:17.00 itex:5072 ptex:323374 mv:33881 misc:529 imb:39 pmb:1522 smb:59 d:-;
in:10 out:10 type:P q:17.00 itex:10711 ptex:330646 mv:35786 misc:457 imb:63 pmb:1512 smb:45 d:-;
in:11 out:11 type:P q:17.00 itex:12231 ptex:329146 mv:34894 misc:513 imb:76 pmb:1500 smb:44 d:-;
in:12 out:12 type:P q:17.00 itex:12665 ptex:330159 mv:35440 misc:424 imb:80 pmb:1502 smb:38 d:-;
in:13 out:13 type:P q:17.00 itex:12749 ptex:330650 mv:33619 misc:470 imb:75 pmb:1504 smb:41 d:-;
in:14 out:14 type:P q:18.00 itex:7788 ptex:288330 mv:30429 misc:493 imb:56 pmb:1515 smb:49 d:-;
in:15 out:15 type:P q:18.00 itex:12306 ptex:299725 mv:32726 misc:451 imb:94 pmb:1487 smb:39 d:-;
in:16 out:16 type:P q:18.00 itex:11326 ptex:296116 mv:29406 misc:536 imb:69 pmb:1499 smb:52 d:-;
in:17 out:17 type:P q:18.00 itex:14177 ptex:292162 mv:30916 misc:473 imb:93 pmb:1483 smb:44 d:-;
in:18 out:18 type:P q:18.00 itex:10584 ptex:290790 mv:33070 misc:476 imb:69 pmb:1504 smb:47 d:-;
